;NDX Index;;MXIM UW Equity;;DISH UW Equity;;AMZN UW Equity;;CSCO UW Equity;;INTC UW Equity;;MSFT UW Equity;;EBAY UW Equity;;ADBE UW Equity;;AMGN UW Equity;;AAPL UW Equity;;CTAS UW Equity;;CMCSA UW Equity;;KLAC UW Equity;;PCAR UW Equity;;COST UW Equity;;AMAT UW Equity;;EA UW Equity;;FI UW Equity;;BIIB UW Equity;;PAYX UW Equity;;QCOM UW Equity;;SBUX UW Equity;;XLNX UW Equity;;INTU UW Equity;;MCHP UW Equity;;CHKP UW Equity;;CTXS UW Equity
25/10/2001;1479,05;25/10/2001;49,11;25/10/2001;23,67;25/10/2001;0,39;25/10/2001;17,74;25/10/2001;26,10;25/10/2001;31,28;25/10/2001;6,22;25/10/2001;16,52;25/10/2001;58,25;25/10/2001;0,34;25/10/2001;10,84;25/10/2001;11,96;25/10/2001;45,25;25/10/2001;7,25;25/10/2001;40,20;25/10/2001;18,72;25/10/2001;28,78;25/10/2001;9,78;25/10/2001;55,14;25/10/2001;33,83;25/10/2001;27,93;25/10/2001;4,45;25/10/2001;33,30;25/10/2001;21,49;25/10/2001;11,22;25/10/2001;33,33;25/10/2001;20,51
26/10/2001;1454,90;26/10/2001;48,78;26/10/2001;22,65;26/10/2001;0,38;26/10/2001;17,29;26/10/2001;25,86;26/10/2001;31,10;26/10/2001;6,00;26/10/2001;16,34;26/10/2001;59,45;26/10/2001;0,33;26/10/2001;10,83;26/10/2001;12,26;26/10/2001;44,16;26/10/2001;7,29;26/10/2001;40,52;26/10/2001;18,44;26/10/2001;27,29;26/10/2001;9,51;26/10/2001;55,77;26/10/2001;34,99;26/10/2001;27,64;26/10/2001;4,47;26/10/2001;33,33;26/10/2001;20,51;26/10/2001;11,38;26/10/2001;32,05;26/10/2001;20,46
29/10/2001;1374,58;29/10/2001;45,29;29/10/2001;21,59;29/10/2001;0,35;29/10/2001;16,42;29/10/2001;24,18;29/10/2001;29,82;29/10/2001;5,53;29/10/2001;15,17;29/10/2001;57,13;29/10/2001;0,32;29/10/2001;10,32;29/10/2001;11,97;29/10/2001;41,38;29/10/2001;6,96;29/10/2001;38,46;29/10/2001;17,26;29/10/2001;26,35;29/10/2001;9,23;29/10/2001;52,40;29/10/2001;32,35;29/10/2001;26,15;29/10/2001;4,24;29/10/2001;30,01;29/10/2001;19,81;29/10/2001;10,52;29/10/2001;29,54;29/10/2001;19,03
30/10/2001;1342,26;30/10/2001;43,16;30/10/2001;20,75;30/10/2001;0,32;30/10/2001;16,57;30/10/2001;23,54;30/10/2001;29,44;30/10/2001;5,62;30/10/2001;14,38;30/10/2001;56,88;30/10/2001;0,31;30/10/2001;10,11;30/10/2001;11,75;30/10/2001;39,66;30/10/2001;6,86;30/10/2001;37,53;30/10/2001;16,63;30/10/2001;25,61;30/10/2001;9,14;30/10/2001;54,54;30/10/2001;32,42;30/10/2001;24,35;30/10/2001;4,33;30/10/2001;28,38;30/10/2001;19,74;30/10/2001;10,11;30/10/2001;28,67;30/10/2001;18,79
31/10/2001;1364,78;31/10/2001;45,75;31/10/2001;20,79;31/10/2001;0,35;31/10/2001;16,92;31/10/2001;24,42;31/10/2001;29,08;31/10/2001;5,52;31/10/2001;13,20;31/10/2001;56,82;31/10/2001;0,31;31/10/2001;10,11;31/10/2001;11,89;31/10/2001;40,86;31/10/2001;6,96;31/10/2001;37,83;31/10/2001;17,06;31/10/2001;25,73;31/10/2001;9,30;31/10/2001;55,25;31/10/2001;32,06;31/10/2001;24,56;31/10/2001;4,28;31/10/2001;30,42;31/10/2001;20,11;31/10/2001;10,41;31/10/2001;29,52;31/10/2001;18,63
01/11/2001;1424,15;01/11/2001;49,56;01/11/2001;20,55;01/11/2001;0,35;01/11/2001;17,66;01/11/2001;25,94;01/11/2001;30,92;01/11/2001;5,60;01/11/2001;13,57;01/11/2001;58,00;01/11/2001;0,33;01/11/2001;10,10;01/11/2001;11,72;01/11/2001;44,00;01/11/2001;7,06;01/11/2001;39,42;01/11/2001;18,50;01/11/2001;26,50;01/11/2001;9,58;01/11/2001;56,37;01/11/2001;34,09;01/11/2001;25,82;01/11/2001;4,32;01/11/2001;33,15;01/11/2001;21,13;01/11/2001;10,75;01/11/2001;30,71;01/11/2001;19,42
02/11/2001;1425,78;02/11/2001;48,65;02/11/2001;20,42;02/11/2001;0,34;02/11/2001;17,26;02/11/2001;26,30;02/11/2001;30,70;02/11/2001;5,44;02/11/2001;13,48;02/11/2001;57,64;02/11/2001;0,33;02/11/2001;10,25;02/11/2001;12,12;02/11/2001;45,02;02/11/2001;7,35;02/11/2001;40,20;02/11/2001;18,99;02/11/2001;27,45;02/11/2001;9,72;02/11/2001;56,37;02/11/2001;33,53;02/11/2001;26,76;02/11/2001;4,47;02/11/2001;33,64;02/11/2001;21,33;02/11/2001;11,05;02/11/2001;30,31;02/11/2001;18,87
05/11/2001;1480,21;05/11/2001;50,95;05/11/2001;21,02;05/11/2001;0,35;05/11/2001;17,90;05/11/2001;26,96;05/11/2001;31,64;05/11/2001;5,67;05/11/2001;14,13;05/11/2001;58,54;05/11/2001;0,34;05/11/2001;10,66;05/11/2001;12,00;05/11/2001;46,30;05/11/2001;7,77;05/11/2001;41,07;05/11/2001;19,23;05/11/2001;27,66;05/11/2001;10,06;05/11/2001;58,88;05/11/2001;35,39;05/11/2001;26,54;05/11/2001;4,65;05/11/2001;36,16;05/11/2001;21,12;05/11/2001;11,19;05/11/2001;32,96;05/11/2001;18,77
06/11/2001;1523,09;06/11/2001;54,16;06/11/2001;21,86;06/11/2001;0,35;06/11/2001;18,47;06/11/2001;28,25;06/11/2001;32,39;06/11/2001;5,86;06/11/2001;14,29;06/11/2001;59,26;06/11/2001;0,35;06/11/2001;10,93;06/11/2001;12,37;06/11/2001;48,40;06/11/2001;8,12;06/11/2001;41,80;06/11/2001;19,96;06/11/2001;27,66;06/11/2001;10,25;06/11/2001;60,34;06/11/2001;35,05;06/11/2001;27,37;06/11/2001;4,82;06/11/2001;38,08;06/11/2001;21,88;06/11/2001;12,08;06/11/2001;34,82;06/11/2001;19,27
07/11/2001;1524,67;07/11/2001;52,95;07/11/2001;21,99;07/11/2001;0,37;07/11/2001;18,93;07/11/2001;28,29;07/11/2001;32,13;07/11/2001;5,95;07/11/2001;15,03;07/11/2001;59,94;07/11/2001;0,35;07/11/2001;11,03;07/11/2001;12,47;07/11/2001;48,23;07/11/2001;8,24;07/11/2001;41,37;07/11/2001;19,67;07/11/2001;26,75;07/11/2001;10,06;07/11/2001;59,72;07/11/2001;34,61;07/11/2001;27,56;07/11/2001;4,75;07/11/2001;37,89;07/11/2001;22,18;07/11/2001;11,97;07/11/2001;34,08;07/11/2001;20,54
08/11/2001;1510,60;08/11/2001;51,47;08/11/2001;22,06;08/11/2001;0,35;08/11/2001;19,09;08/11/2001;28,28;08/11/2001;32,21;08/11/2001;5,82;08/11/2001;14,48;08/11/2001;57,58;08/11/2001;0,33;08/11/2001;10,91;08/11/2001;12,23;08/11/2001;46,54;08/11/2001;7,99;08/11/2001;42,66;08/11/2001;19,20;08/11/2001;25,60;08/11/2001;10,01;08/11/2001;58,13;08/11/2001;35,18;08/11/2001;28,15;08/11/2001;4,72;08/11/2001;36,09;08/11/2001;21,46;08/11/2001;11,72;08/11/2001;34,27;08/11/2001;19,03
09/11/2001;1514,96;09/11/2001;51,87;09/11/2001;22,65;09/11/2001;0,36;09/11/2001;19,20;09/11/2001;27,88;09/11/2001;32,61;09/11/2001;5,99;09/11/2001;14,40;09/11/2001;56,89;09/11/2001;0,33;09/11/2001;11,02;09/11/2001;12,12;09/11/2001;47,23;09/11/2001;7,94;09/11/2001;43,05;09/11/2001;19,29;09/11/2001;25,85;09/11/2001;9,96;09/11/2001;57,76;09/11/2001;34,81;09/11/2001;27,71;09/11/2001;4,76;09/11/2001;36,03;09/11/2001;21,16;09/11/2001;11,57;09/11/2001;35,96;09/11/2001;19,22
12/11/2001;1528,75;12/11/2001;53,57;12/11/2001;22,69;12/11/2001;0,35;12/11/2001;19,26;12/11/2001;28,38;12/11/2001;32,90;12/11/2001;6,07;12/11/2001;14,50;12/11/2001;56,27;12/11/2001;0,34;12/11/2001;10,94;12/11/2001;12,16;12/11/2001;48,17;12/11/2001;7,97;12/11/2001;42,41;12/11/2001;19,48;12/11/2001;26,51;12/11/2001;9,90;12/11/2001;59,18;12/11/2001;34,61;12/11/2001;28,12;12/11/2001;4,78;12/11/2001;37,00;12/11/2001;21,10;12/11/2001;12,10;12/11/2001;38,51;12/11/2001;18,55
13/11/2001;1580,76;13/11/2001;55,81;13/11/2001;23,06;13/11/2001;0,37;13/11/2001;19,58;13/11/2001;30,05;13/11/2001;33,95;13/11/2001;6,30;13/11/2001;15,34;13/11/2001;57,99;13/11/2001;0,35;13/11/2001;11,43;13/11/2001;12,36;13/11/2001;50,54;13/11/2001;8,28;13/11/2001;43,07;13/11/2001;20,40;13/11/2001;27,41;13/11/2001;10,07;13/11/2001;62,27;13/11/2001;35,76;13/11/2001;28,78;13/11/2001;4,83;13/11/2001;38,50;13/11/2001;21,08;13/11/2001;12,42;13/11/2001;41,90;13/11/2001;17,45
14/11/2001;1585,89;14/11/2001;54,94;14/11/2001;23,02;14/11/2001;0,48;14/11/2001;19,89;14/11/2001;31,32;14/11/2001;32,98;14/11/2001;6,54;14/11/2001;15,67;14/11/2001;57,33;14/11/2001;0,35;14/11/2001;11,28;14/11/2001;12,57;14/11/2001;49,62;14/11/2001;7,85;14/11/2001;43,12;14/11/2001;20,36;14/11/2001;28,00;14/11/2001;10,09;14/11/2001;61,88;14/11/2001;36,62;14/11/2001;29,04;14/11/2001;4,78;14/11/2001;37,79;14/11/2001;20,86;14/11/2001;12,14;14/11/2001;40,75;14/11/2001;16,03
15/11/2001;1582,58;15/11/2001;54,14;15/11/2001;23,07;15/11/2001;0,45;15/11/2001;20,14;15/11/2001;30,78;15/11/2001;33,06;15/11/2001;6,32;15/11/2001;15,89;15/11/2001;57,04;15/11/2001;0,35;15/11/2001;11,32;15/11/2001;12,78;15/11/2001;49,45;15/11/2001;7,94;15/11/2001;42,59;15/11/2001;19,55;15/11/2001;27,69;15/11/2001;10,06;15/11/2001;62,02;15/11/2001;36,10;15/11/2001;29,48;15/11/2001;4,79;15/11/2001;37,57;15/11/2001;20,91;15/11/2001;12,18;15/11/2001;40,28;15/11/2001;16,58
16/11/2001;1582,14;16/11/2001;54,10;16/11/2001;23,16;16/11/2001;0,45;16/11/2001;20,02;16/11/2001;30,63;16/11/2001;32,88;16/11/2001;6,31;16/11/2001;15,95;16/11/2001;56,52;16/11/2001;0,34;16/11/2001;11,19;16/11/2001;12,69;16/11/2001;49,98;16/11/2001;7,90;16/11/2001;42,13;16/11/2001;19,63;16/11/2001;27,06;16/11/2001;9,89;16/11/2001;62,28;16/11/2001;35,89;16/11/2001;30,04;16/11/2001;4,38;16/11/2001;36,72;16/11/2001;19,99;16/11/2001;12,09;16/11/2001;39,36;16/11/2001;16,69
19/11/2001;1617,58;19/11/2001;53,69;19/11/2001;23,08;19/11/2001;0,46;19/11/2001;20,71;19/11/2001;30,99;19/11/2001;33,27;19/11/2001;6,54;19/11/2001;16,83;19/11/2001;58,35;19/11/2001;0,36;19/11/2001;11,15;19/11/2001;12,90;19/11/2001;49,74;19/11/2001;7,92;19/11/2001;42,91;19/11/2001;19,42;19/11/2001;28,40;19/11/2001;9,90;19/11/2001;64,97;19/11/2001;36,15;19/11/2001;31,24;19/11/2001;4,35;19/11/2001;35,53;19/11/2001;20,37;19/11/2001;11,93;19/11/2001;42,48;19/11/2001;16,44
20/11/2001;1549,70;20/11/2001;50,58;20/11/2001;22,31;20/11/2001;0,43;20/11/2001;19,79;20/11/2001;29,95;20/11/2001;32,70;20/11/2001;6,22;20/11/2001;16,10;20/11/2001;57,91;20/11/2001;0,35;20/11/2001;10,70;20/11/2001;12,93;20/11/2001;45,84;20/11/2001;7,76;20/11/2001;41,80;20/11/2001;18,33;20/11/2001;27,78;20/11/2001;9,78;20/11/2001;62,15;20/11/2001;35,36;20/11/2001;29,61;20/11/2001;4,35;20/11/2001;32,78;20/11/2001;19,90;20/11/2001;11,38;20/11/2001;38,15;20/11/2001;16,06
21/11/2001;1552,01;21/11/2001;52,54;21/11/2001;22,40;21/11/2001;0,44;21/11/2001;19,15;21/11/2001;30,81;21/11/2001;32,03;21/11/2001;6,40;21/11/2001;16,10;21/11/2001;61,98;21/11/2001;0,35;21/11/2001;10,73;21/11/2001;12,93;21/11/2001;47,13;21/11/2001;7,79;21/11/2001;40,88;21/11/2001;19,00;21/11/2001;27,00;21/11/2001;9,81;21/11/2001;61,69;21/11/2001;35,78;21/11/2001;29,89;21/11/2001;4,33;21/11/2001;34,44;21/11/2001;20,35;21/11/2001;12,01;21/11/2001;39,28;21/11/2001;16,33
23/11/2001;1577,47;23/11/2001;52,23;23/11/2001;22,42;23/11/2001;0,45;23/11/2001;19,59;23/11/2001;31,06;23/11/2001;32,36;23/11/2001;6,48;23/11/2001;16,58;23/11/2001;64,42;23/11/2001;0,35;23/11/2001;10,84;23/11/2001;12,87;23/11/2001;47,63;23/11/2001;7,97;23/11/2001;42,13;23/11/2001;19,38;23/11/2001;26,85;23/11/2001;9,92;23/11/2001;61,71;23/11/2001;36,02;23/11/2001;30,66;23/11/2001;4,33;23/11/2001;34,73;23/11/2001;20,46;23/11/2001;11,91;23/11/2001;39,11;23/11/2001;16,79
26/11/2001;1619,65;26/11/2001;55,13;26/11/2001;23,21;26/11/2001;0,61;26/11/2001;19,93;26/11/2001;31,87;26/11/2001;32,57;26/11/2001;6,86;26/11/2001;17,47;26/11/2001;67,39;26/11/2001;0,38;26/11/2001;10,88;26/11/2001;12,98;26/11/2001;50,05;26/11/2001;8,07;26/11/2001;42,84;26/11/2001;20,03;26/11/2001;27,17;26/11/2001;10,03;26/11/2001;64,76;26/11/2001;36,19;26/11/2001;30,20;26/11/2001;4,34;26/11/2001;36,05;26/11/2001;20,24;26/11/2001;12,60;26/11/2001;39,50;26/11/2001;17,41
27/11/2001;1609,87;27/11/2001;54,01;27/11/2001;23,25;27/11/2001;0,57;27/11/2001;19,70;27/11/2001;32,31;27/11/2001;31,87;27/11/2001;6,82;27/11/2001;17,12;27/11/2001;65,85;27/11/2001;0,38;27/11/2001;10,81;27/11/2001;13,01;27/11/2001;52,17;27/11/2001;7,90;27/11/2001;42,66;27/11/2001;20,99;27/11/2001;27,32;27/11/2001;9,82;27/11/2001;64,17;27/11/2001;35,76;27/11/2001;30,01;27/11/2001;4,30;27/11/2001;36,45;27/11/2001;19,95;27/11/2001;12,68;27/11/2001;39,40;27/11/2001;18,22
28/11/2001;1557,03;28/11/2001;51,31;28/11/2001;23,04;28/11/2001;0,58;28/11/2001;18,88;28/11/2001;31,76;28/11/2001;31,40;28/11/2001;6,85;28/11/2001;16,03;28/11/2001;64,52;28/11/2001;0,37;28/11/2001;10,52;28/11/2001;12,82;28/11/2001;49,82;28/11/2001;7,89;28/11/2001;40,86;28/11/2001;20,03;28/11/2001;26,81;28/11/2001;9,60;28/11/2001;61,93;28/11/2001;34,89;28/11/2001;28,65;28/11/2001;4,23;28/11/2001;34,45;28/11/2001;20,09;28/11/2001;12,07;28/11/2001;37,43;28/11/2001;18,92
29/11/2001;1599,30;29/11/2001;54,46;29/11/2001;23,34;29/11/2001;0,56;29/11/2001;19,89;29/11/2001;32,32;29/11/2001;32,42;29/11/2001;6,97;29/11/2001;16,81;29/11/2001;65,79;29/11/2001;0,37;29/11/2001;10,83;29/11/2001;12,88;29/11/2001;52,76;29/11/2001;7,95;29/11/2001;41,26;29/11/2001;20,73;29/11/2001;29,01;29/11/2001;9,74;29/11/2001;63,75;29/11/2001;34,85;29/11/2001;29,21;29/11/2001;4,23;29/11/2001;36,30;29/11/2001;21,22;29/11/2001;12,51;29/11/2001;39,92;29/11/2001;18,32
30/11/2001;1596,05;30/11/2001;54,81;30/11/2001;23,73;30/11/2001;0,57;30/11/2001;20,44;30/11/2001;32,66;30/11/2001;32,11;30/11/2001;7,16;30/11/2001;16,04;30/11/2001;66,43;30/11/2001;0,38;30/11/2001;10,69;30/11/2001;12,62;30/11/2001;50,23;30/11/2001;8,01;30/11/2001;40,88;30/11/2001;19,87;30/11/2001;30,23;30/11/2001;9,77;30/11/2001;64,75;30/11/2001;35,01;30/11/2001;29,36;30/11/2001;4,43;30/11/2001;36,11;30/11/2001;21,95;30/11/2001;12,04;30/11/2001;38,35;30/11/2001;17,81
03/12/2001;1567,54;03/12/2001;53,27;03/12/2001;23,20;03/12/2001;0,53;03/12/2001;19,86;03/12/2001;32,04;03/12/2001;32,39;03/12/2001;7,06;03/12/2001;15,98;03/12/2001;65,48;03/12/2001;0,38;03/12/2001;10,44;03/12/2001;12,75;03/12/2001;49,93;03/12/2001;7,94;03/12/2001;40,22;03/12/2001;19,64;03/12/2001;30,03;03/12/2001;9,70;03/12/2001;63,80;03/12/2001;34,84;03/12/2001;28,64;03/12/2001;4,62;03/12/2001;34,88;03/12/2001;21,66;03/12/2001;11,85;03/12/2001;37,31;03/12/2001;18,04
04/12/2001;1634,27;04/12/2001;57,32;04/12/2001;23,72;04/12/2001;0,60;04/12/2001;20,52;04/12/2001;32,86;04/12/2001;33,00;04/12/2001;7,36;04/12/2001;17,17;04/12/2001;66,66;04/12/2001;0,40;04/12/2001;10,73;04/12/2001;12,95;04/12/2001;53,64;04/12/2001;8,33;04/12/2001;40,98;04/12/2001;21,22;04/12/2001;32,22;04/12/2001;9,90;04/12/2001;63,95;04/12/2001;35,93;04/12/2001;29,96;04/12/2001;4,92;04/12/2001;37,78;04/12/2001;21,87;04/12/2001;12,45;04/12/2001;39,17;04/12/2001;18,28
05/12/2001;1720,91;05/12/2001;61,42;05/12/2001;23,97;05/12/2001;0,59;05/12/2001;21,54;05/12/2001;34,61;05/12/2001;34,05;05/12/2001;7,26;05/12/2001;18,32;05/12/2001;67,74;05/12/2001;0,42;05/12/2001;11,40;05/12/2001;13,31;05/12/2001;56,96;05/12/2001;8,57;05/12/2001;43,48;05/12/2001;22,96;05/12/2001;33,02;05/12/2001;10,30;05/12/2001;65,18;05/12/2001;39,35;05/12/2001;31,00;05/12/2001;4,98;05/12/2001;42,41;05/12/2001;22,44;05/12/2001;13,61;05/12/2001;42,02;05/12/2001;19,10
06/12/2001;1717,97;06/12/2001;60,75;06/12/2001;23,97;06/12/2001;0,61;06/12/2001;21,79;06/12/2001;34,16;06/12/2001;34,33;06/12/2001;7,38;06/12/2001;18,64;06/12/2001;68,49;06/12/2001;0,41;06/12/2001;11,68;06/12/2001;13,35;06/12/2001;56,41;06/12/2001;8,67;06/12/2001;42,47;06/12/2001;22,74;06/12/2001;31,57;06/12/2001;10,48;06/12/2001;65,54;06/12/2001;37,53;06/12/2001;30,02;06/12/2001;4,89;06/12/2001;42,29;06/12/2001;22,03;06/12/2001;13,92;06/12/2001;41,05;06/12/2001;19,43
07/12/2001;1673,90;07/12/2001;59,31;07/12/2001;23,55;07/12/2001;0,59;07/12/2001;21,16;07/12/2001;33,24;07/12/2001;33,92;07/12/2001;7,15;07/12/2001;18,25;07/12/2001;66,80;07/12/2001;0,40;07/12/2001;11,64;07/12/2001;13,32;07/12/2001;55,30;07/12/2001;8,52;07/12/2001;43,08;07/12/2001;22,23;07/12/2001;31,47;07/12/2001;10,43;07/12/2001;63,33;07/12/2001;37,52;07/12/2001;28,49;07/12/2001;4,74;07/12/2001;41,00;07/12/2001;21,45;07/12/2001;13,37;07/12/2001;39,93;07/12/2001;19,28
10/12/2001;1645,36;10/12/2001;58,48;10/12/2001;23,17;10/12/2001;0,58;10/12/2001;20,74;10/12/2001;32,95;10/12/2001;33,53;10/12/2001;7,05;10/12/2001;17,86;10/12/2001;64,87;10/12/2001;0,40;10/12/2001;11,43;10/12/2001;13,35;10/12/2001;54,86;10/12/2001;8,51;10/12/2001;42,39;10/12/2001;21,79;10/12/2001;31,24;10/12/2001;10,42;10/12/2001;59,70;10/12/2001;37,07;10/12/2001;28,52;10/12/2001;4,78;10/12/2001;40,61;10/12/2001;21,29;10/12/2001;13,06;10/12/2001;40,25;10/12/2001;18,83
11/12/2001;1661,27;11/12/2001;57,90;11/12/2001;23,28;11/12/2001;0,61;11/12/2001;20,78;11/12/2001;33,19;11/12/2001;33,66;11/12/2001;7,38;11/12/2001;16,99;11/12/2001;64,30;11/12/2001;0,39;11/12/2001;11,86;11/12/2001;13,29;11/12/2001;55,67;11/12/2001;8,43;11/12/2001;41,33;11/12/2001;21,97;11/12/2001;31,59;11/12/2001;10,49;11/12/2001;62,41;11/12/2001;37,92;11/12/2001;28,77;11/12/2001;4,76;11/12/2001;41,55;11/12/2001;21,78;11/12/2001;13,19;11/12/2001;40,90;11/12/2001;18,59
12/12/2001;1669,95;12/12/2001;59,79;12/12/2001;23,85;12/12/2001;0,60;12/12/2001;20,50;12/12/2001;34,08;12/12/2001;33,98;12/12/2001;7,31;12/12/2001;15,89;12/12/2001;64,39;12/12/2001;0,38;12/12/2001;11,94;12/12/2001;13,29;12/12/2001;56,31;12/12/2001;8,42;12/12/2001;40,75;12/12/2001;22,44;12/12/2001;31,41;12/12/2001;10,52;12/12/2001;61,98;12/12/2001;39,01;12/12/2001;28,84;12/12/2001;4,69;12/12/2001;42,24;12/12/2001;21,76;12/12/2001;13,44;12/12/2001;43,02;12/12/2001;18,86
13/12/2001;1601,91;13/12/2001;55,73;13/12/2001;23,22;13/12/2001;0,55;13/12/2001;19,01;13/12/2001;32,57;13/12/2001;33,14;13/12/2001;6,96;13/12/2001;15,32;13/12/2001;60,19;13/12/2001;0,38;13/12/2001;11,61;13/12/2001;13,20;13/12/2001;52,04;13/12/2001;8,28;13/12/2001;41,58;13/12/2001;20,54;13/12/2001;30,56;13/12/2001;10,27;13/12/2001;62,09;13/12/2001;38,10;13/12/2001;27,50;13/12/2001;4,68;13/12/2001;39,13;13/12/2001;21,32;13/12/2001;13,12;13/12/2001;42,12;13/12/2001;18,18
14/12/2001;1605,67;14/12/2001;56,86;14/12/2001;23,24;14/12/2001;0,55;14/12/2001;19,39;14/12/2001;33,27;14/12/2001;33,72;14/12/2001;7,01;14/12/2001;15,92;14/12/2001;56,03;14/12/2001;0,36;14/12/2001;11,73;14/12/2001;12,91;14/12/2001;52,85;14/12/2001;8,29;14/12/2001;42,27;14/12/2001;21,16;14/12/2001;30,58;14/12/2001;10,32;14/12/2001;62,36;14/12/2001;37,79;14/12/2001;27,92;14/12/2001;4,80;14/12/2001;40,08;14/12/2001;20,48;14/12/2001;13,40;14/12/2001;40,81;14/12/2001;17,48
17/12/2001;1640,34;17/12/2001;58,46;17/12/2001;23,31;17/12/2001;0,54;17/12/2001;19,26;17/12/2001;33,97;17/12/2001;34,49;17/12/2001;7,29;17/12/2001;15,77;17/12/2001;59,49;17/12/2001;0,37;17/12/2001;11,99;17/12/2001;13,02;17/12/2001;55,50;17/12/2001;8,41;17/12/2001;42,50;17/12/2001;21,60;17/12/2001;31,40;17/12/2001;10,94;17/12/2001;65,39;17/12/2001;38,21;17/12/2001;26,76;17/12/2001;4,88;17/12/2001;41,40;17/12/2001;21,11;17/12/2001;13,80;17/12/2001;43,30;17/12/2001;18,38
18/12/2001;1657,68;18/12/2001;59,44;18/12/2001;23,80;18/12/2001;0,54;18/12/2001;19,62;18/12/2001;33,81;18/12/2001;34,64;18/12/2001;7,03;18/12/2001;16,50;18/12/2001;58,39;18/12/2001;0,38;18/12/2001;12,48;18/12/2001;13,01;18/12/2001;55,67;18/12/2001;8,62;18/12/2001;43,33;18/12/2001;21,38;18/12/2001;31,17;18/12/2001;11,10;18/12/2001;65,55;18/12/2001;37,38;18/12/2001;26,80;18/12/2001;4,88;18/12/2001;41,51;18/12/2001;21,80;18/12/2001;13,89;18/12/2001;44,37;18/12/2001;19,19
19/12/2001;1628,69;19/12/2001;56,10;19/12/2001;23,64;19/12/2001;0,54;19/12/2001;19,35;19/12/2001;33,05;19/12/2001;34,75;19/12/2001;6,97;19/12/2001;16,31;19/12/2001;58,33;19/12/2001;0,39;19/12/2001;12,40;19/12/2001;12,70;19/12/2001;52,61;19/12/2001;8,76;19/12/2001;43,31;19/12/2001;20,69;19/12/2001;31,05;19/12/2001;11,09;19/12/2001;64,42;19/12/2001;35,61;19/12/2001;26,14;19/12/2001;4,78;19/12/2001;39,24;19/12/2001;22,33;19/12/2001;13,54;19/12/2001;43,55;19/12/2001;19,94
20/12/2001;1557,36;20/12/2001;52,33;20/12/2001;23,73;20/12/2001;0,51;20/12/2001;18,29;20/12/2001;31,98;20/12/2001;33,38;20/12/2001;6,69;20/12/2001;15,34;20/12/2001;57,80;20/12/2001;0,37;20/12/2001;12,10;20/12/2001;11,88;20/12/2001;49,33;20/12/2001;8,58;20/12/2001;43,51;20/12/2001;19,78;20/12/2001;30,11;20/12/2001;10,82;20/12/2001;62,27;20/12/2001;34,50;20/12/2001;24,78;20/12/2001;4,60;20/12/2001;36,25;20/12/2001;21,28;20/12/2001;12,27;20/12/2001;39,79;20/12/2001;18,70
21/12/2001;1578,27;21/12/2001;52,31;21/12/2001;23,93;21/12/2001;0,50;21/12/2001;18,19;21/12/2001;32,41;21/12/2001;33,77;21/12/2001;6,84;21/12/2001;15,73;21/12/2001;57,97;21/12/2001;0,38;21/12/2001;12,15;21/12/2001;11,65;21/12/2001;50,03;21/12/2001;8,58;21/12/2001;43,60;21/12/2001;19,99;21/12/2001;29,80;21/12/2001;10,63;21/12/2001;62,89;21/12/2001;34,99;21/12/2001;25,00;21/12/2001;4,71;21/12/2001;37,68;21/12/2001;21,49;21/12/2001;12,60;21/12/2001;41,22;21/12/2001;18,70
24/12/2001;1577,31;24/12/2001;51,94;24/12/2001;23,99;24/12/2001;0,49;24/12/2001;18,11;24/12/2001;32,02;24/12/2001;33,64;24/12/2001;6,71;24/12/2001;15,58;24/12/2001;57,02;24/12/2001;0,38;24/12/2001;12,18;24/12/2001;11,74;24/12/2001;49,64;24/12/2001;8,71;24/12/2001;44,07;24/12/2001;20,06;24/12/2001;29,78;24/12/2001;10,68;24/12/2001;64,08;24/12/2001;35,12;24/12/2001;25,06;24/12/2001;4,71;24/12/2001;37,92;24/12/2001;21,13;24/12/2001;12,45;24/12/2001;40,26;24/12/2001;18,55
26/12/2001;1590,84;26/12/2001;52,75;26/12/2001;24,14;26/12/2001;0,56;26/12/2001;18,24;26/12/2001;32,29;26/12/2001;33,84;26/12/2001;6,98;26/12/2001;15,34;26/12/2001;58,29;26/12/2001;0,38;26/12/2001;12,34;26/12/2001;11,87;26/12/2001;50,02;26/12/2001;8,94;26/12/2001;44,01;26/12/2001;20,26;26/12/2001;29,53;26/12/2001;10,70;26/12/2001;64,87;26/12/2001;35,53;26/12/2001;25,31;26/12/2001;4,76;26/12/2001;38,41;26/12/2001;21,49;26/12/2001;12,89;26/12/2001;41,27;26/12/2001;18,72
27/12/2001;1606,48;27/12/2001;54,04;27/12/2001;24,23;27/12/2001;0,53;27/12/2001;18,49;27/12/2001;32,67;27/12/2001;33,93;27/12/2001;6,96;27/12/2001;15,92;27/12/2001;58,40;27/12/2001;0,39;27/12/2001;12,29;27/12/2001;11,95;27/12/2001;50,56;27/12/2001;8,89;27/12/2001;44,15;27/12/2001;20,51;27/12/2001;29,58;27/12/2001;10,71;27/12/2001;64,71;27/12/2001;35,73;27/12/2001;26,10;27/12/2001;4,84;27/12/2001;39,57;27/12/2001;21,22;27/12/2001;13,02;27/12/2001;40,29;27/12/2001;18,72
